"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_smooth_aux_l","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
557324,557522,8.19454,13602.3,2.26314,3.00098e+06,0,10000,0,0,116448,62038.6,0.169884,0.169884,0.014142,0.621552,0.16985,0.621552,0.621552,109079,0.0141718,0.490704,109141,0.490274,1.25984,1.25984,0.170179,1.25984,109040,0.0883309,109103,0.0883304,0,210,210
553162,553349,8.1734,13535.6,2.27511,2.98233e+06,0,10000,0,0,116305,62162.3,0.171973,0.171973,0.0148555,0.622534,0.17194,0.622534,0.622534,110506,0.0148828,0.505109,110587,0.504795,1.26077,1.26077,0.172254,1.26077,110473,0.0900852,110555,0.0901023,0,211,211
549220,549398,8.15327,13472.4,2.2866,2.96465e+06,0,10000,0,0,116175,62285.3,0.173965,0.173965,0.0155232,0.623473,0.173934,0.623473,0.623473,111532,0.0155474,0.517229,111634,0.517045,1.26166,1.26166,0.174233,1.26166,111505,0.0914857,111607,0.0915224,0,212,212
545501,545669,8.13418,13412.6,2.29757,2.94793e+06,0,10000,0,0,116057,62406.9,0.175857,0.175857,0.0161332,0.624368,0.175827,0.624368,0.624368,112109,0.016154,0.526749,112234,0.52671,1.26251,1.26251,0.176111,1.26251,112090,0.0924883,112215,0.0925467,0,213,213
542006,542163,8.11614,13356.2,2.30801,2.9322e+06,0,10000,0,0,115951,62526.2,0.177647,0.177647,0.0166734,0.625217,0.177619,0.625217,0.625217,112195,0.0166901,0.533372,112344,0.533493,1.26331,1.26331,0.177887,1.26331,112184,0.0930521,112333,0.0931343,0,214,214
538735,538882,8.09916,13303.5,2.31788,2.91746e+06,0,10000,0,0,115856,62642.4,0.179333,0.179333,0.0171316,0.62602,0.179308,0.62602,0.62602,111750,0.0171436,0.536836,111925,0.537132,1.26406,1.26406,0.179559,1.26406,111748,0.093141,111923,0.093249,0,215,215
535686,535823,8.08326,13254.2,2.32718,2.9037e+06,0,10000,0,0,115772,62754.9,0.180915,0.180915,0.0174958,0.626775,0.180891,0.626775,0.626775,110742,0.0175025,0.536925,110946,0.537408,1.26476,1.26476,0.181126,1.26476,110750,0.0927262,110954,0.092862,0,216,216
532858,532985,8.06843,13208.5,2.33589,2.89092e+06,0,10000,0,0,115697,62862.8,0.18239,0.18239,0.0177552,0.627483,0.182368,0.627483,0.627483,109151,0.017756,0.533484,109384,0.534164,1.26542,1.26542,0.182587,1.26542,109169,0.0917878,109402,0.091953,0,217,217
530248,530365,8.05466,13166.2,2.34401,2.8791e+06,0,10000,0,0,115631,62965.8,0.18376,0.18376,0.0179002,0.628142,0.18374,0.628142,0.628142,106963,0.0178946,0.526425,107228,0.527311,1.26604,1.26604,0.183943,1.26604,106993,0.0903169,107257,0.090513,0,218,218
527850,527957,8.04194,13127.4,2.35153,2.86823e+06,0,10000,0,0,115573,63063.3,0.185026,0.185026,0.0179232,0.628754,0.185007,0.628754,0.628754,104183,0.0179106,0.515743,104479,0.516839,1.2666,1.2666,0.185193,1.2666,104223,0.0883175,104519,0.0885453,0,219,219
