"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.5,0.5,0.5,5,1.25e+06,250000,1.40678e-09,1.26221e-08,1,1,10,2.5e+06,500000,2.37788e-12,4.60895e-12,1e+06,1e+06,2.5e+06,500000,2.81355e-09,2.52443e-09,87,87,0.172,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.51616e-09,2.27451e-08,1,1,10,2.5e+06,500000,4.25309e-12,8.30532e-12,1e+06,1e+06,2.5e+06,500000,5.03233e-09,4.54901e-09,88,88,0.174,0,0
0.5,0.5,0.5,5,1.25e+06,250000,4.41625e-09,4.07858e-08,1,1,10,2.5e+06,500000,7.46482e-12,1.48929e-11,1e+06,1e+06,2.5e+06,500000,8.8325e-09,8.15716e-09,89,89,0.176,0,0
0.5,0.5,0.5,5,1.25e+06,250000,7.96126e-09,7.2186e-08,1,1,10,2.5e+06,500000,1.3457e-11,2.63586e-11,1e+06,1e+06,2.5e+06,500000,1.59225e-08,1.44372e-08,90,90,0.178,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.38325e-08,1.27507e-07,1,1,10,2.5e+06,500000,2.33811e-11,4.65591e-11,1e+06,1e+06,2.5e+06,500000,2.76649e-08,2.55014e-08,91,91,0.18,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.42794e-08,2.2275e-07,1,1,10,2.5e+06,500000,4.10398e-11,8.13369e-11,1e+06,1e+06,2.5e+06,500000,4.85589e-08,4.455e-08,92,92,0.182,0,0
0.5,0.5,0.5,5,1.25e+06,250000,4.19553e-08,3.8655e-07,1,1,10,2.5e+06,500000,7.09174e-11,1.41148e-10,1e+06,1e+06,2.5e+06,500000,8.39106e-08,7.731e-08,93,93,0.184,0,0
0.5,0.5,0.5,5,1.25e+06,250000,7.21205e-08,6.65426e-07,1,1,10,2.5e+06,500000,1.21906e-10,2.42979e-10,1e+06,1e+06,2.5e+06,500000,1.44241e-07,1.33085e-07,94,94,0.186,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.2304e-07,1.13593e-06,1,1,10,2.5e+06,500000,2.07975e-10,4.14785e-10,1e+06,1e+06,2.5e+06,500000,2.4608e-07,2.27187e-07,95,95,0.188,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.08061e-07,1.92431e-06,1,1,10,2.5e+06,500000,3.51687e-10,7.02659e-10,1e+06,1e+06,2.5e+06,500000,4.16122e-07,3.84862e-07,96,96,0.19,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.4918e-07,3.23341e-06,1,1,10,2.5e+06,500000,5.90221e-10,1.18068e-09,1e+06,1e+06,2.5e+06,500000,6.98359e-07,6.46683e-07,97,97,0.192,0,0
0.5,0.5,0.5,5,1.25e+06,250000,5.81309e-07,5.38923e-06,1,1,10,2.5e+06,500000,9.82591e-10,1.96787e-09,1e+06,1e+06,2.5e+06,500000,1.16262e-06,1.07785e-06,98,98,0.194,0,0
0.5,0.5,0.5,5,1.25e+06,250000,9.59903e-07,8.91161e-06,1,1,10,2.5e+06,500000,1.62253e-09,3.25406e-09,1e+06,1e+06,2.5e+06,500000,1.91981e-06,1.78232e-06,99,99,0.196,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.57265e-06,1.46186e-05,1,1,10,2.5e+06,500000,2.65827e-09,5.33796e-09,1e+06,1e+06,2.5e+06,500000,3.14531e-06,2.92372e-06,100,100,0.198,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.556e-06,2.37899e-05,1,1,10,2.5e+06,500000,4.32043e-09,8.68685e-09,1e+06,1e+06,2.5e+06,500000,5.112e-06,4.75798e-06,101,101,0.2,0,0
0.5,0.5,0.5,5,1.25e+06,250000,4.12139e-06,3.84097e-05,1,1,10,2.5e+06,500000,6.96642e-09,1.40253e-08,1e+06,1e+06,2.5e+06,500000,8.24278e-06,7.68195e-06,102,102,0.202,0,0
0.5,0.5,0.5,5,1.25e+06,250000,6.59202e-06,6.15125e-05,1,1,10,2.5e+06,500000,1.11426e-08,2.24612e-08,1e+06,1e+06,2.5e+06,500000,1.3184e-05,1.23025e-05,103,103,0.204,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.0464e-05,9.77666e-05,1,1,10,2.5e+06,500000,1.76873e-08,3.56993e-08,1e+06,1e+06,2.5e+06,500000,2.0928e-05,1.95533e-05,104,104,0.206,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.64769e-05,0.00015414,1,1,10,2.5e+06,500000,2.7851e-08,5.62841e-08,1e+06,1e+06,2.5e+06,500000,3.29538e-05,3.08281e-05,105,105,0.208,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.57414e-05,0.000241112,1,1,10,2.5e+06,500000,4.35109e-08,8.80418e-08,1e+06,1e+06,2.5e+06,500000,5.14828e-05,4.82225e-05,106,106,0.21,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.99001e-05,0.000374201,1,1,10,2.5e+06,500000,6.74434e-08,1.36639e-07,1e+06,1e+06,2.5e+06,500000,7.98002e-05,7.48401e-05,107,107,0.212,0,0
0.5,0.5,0.5,5,1.25e+06,250000,6.13626e-05,0.000576204,1,1,10,2.5e+06,500000,1.03722e-07,2.104e-07,1e+06,1e+06,2.5e+06,500000,0.000122725,0.000115241,108,108,0.214,0,0
